long_name,original_FIP
"CA, Tulare County",G0601070
"CA, Tuolumne County",G0601090
"CA, Ventura County",G0601110
"CA, Yolo County",G0601130
"CA, Yuba County",G0601150
"CO, Adams County",G0800010
"CO, Alamosa County",G0800030
"CO, Arapahoe County",G0800050
"CO, Archuleta County",G0800070
"CO, Baca County",G0800090
"CO, Bent County",G0800110
"CO, Boulder County",G0800130
"CO, Broomfield County",G0800140
"CO, Chaffee County",G0800150
"CO, Cheyenne County",G0800170
"CO, Clear Creek County",G0800190
"CO, Conejos County",G0800210
"CO, Costilla County",G0800230
"CO, Crowley County",G0800250
"CO, Custer County",G0800270
"CO, Delta County",G0800290
"CO, Denver County",G0800310
"CO, Dolores County",G0800330
"CO, Douglas County",G0800350
"CO, Eagle County",G0800370
"CO, Elbert County",G0800390
"CO, El Paso County",G0800410
"CO, Fremont County",G0800430
"CO, Garfield County",G0800450
"CO, Gilpin County",G0800470
"CO, Grand County",G0800490
"CO, Gunnison County",G0800510
"CO, Hinsdale County",G0800530
"CO, Huerfano County",G0800550
"CO, Jackson County",G0800570
"CO, Jefferson County",G0800590
"CO, Kiowa County",G0800610
"CO, Kit Carson County",G0800630
"CO, Lake County",G0800650
"CO, La Plata County",G0800670
"CO, Larimer County",G0800690
"CO, Las Animas County",G0800710
"CO, Lincoln County",G0800730
"CO, Logan County",G0800750
"CO, Mesa County",G0800770
"CO, Mineral County",G0800790
"CO, Moffat County",G0800810
"CO, Montezuma County",G0800830
"CO, Montrose County",G0800850
"CO, Morgan County",G0800870
"CO, Otero County",G0800890
"CO, Ouray County",G0800910
"CO, Park County",G0800930
"CO, Phillips County",G0800950
"CO, Pitkin County",G0800970
"CO, Prowers County",G0800990
"CO, Pueblo County",G0801010
"CO, Rio Blanco County",G0801030
"CO, Rio Grande County",G0801050
"CO, Routt County",G0801070
"CO, Saguache County",G0801090
"CO, San Juan County",G0801110
"CO, San Miguel County",G0801130
"CO, Sedgwick County",G0801150
"CO, Summit County",G0801170
"CO, Teller County",G0801190
"CO, Washington County",G0801210
"CO, Weld County",G0801230
"CO, Yuma County",G0801250
"CT, Fairfield County",G0900010
"CT, Hartford County",G0900030
"CT, Litchfield County",G0900050
"CT, Middlesex County",G0900070
"CT, New Haven County",G0900090
"CT, New London County",G0900110
"CT, Tolland County",G0900130
"CT, Windham County",G0900150
"DE, Kent County",G1000010
"DE, New Castle County",G1000030
"DE, Sussex County",G1000050
"DC, District of Columbia",G1100010
"FL, Alachua County",G1200010
"FL, Baker County",G1200030
"FL, Bay County",G1200050
"FL, Bradford County",G1200070
"FL, Brevard County",G1200090
"FL, Broward County",G1200110
"FL, Calhoun County",G1200130
"FL, Charlotte County",G1200150
"FL, Citrus County",G1200170
"FL, Clay County",G1200190
"FL, Collier County",G1200210
"FL, Columbia County",G1200230
"FL, DeSoto County",G1200270
"FL, Dixie County",G1200290
"FL, Duval County",G1200310
"FL, Escambia County",G1200330
"FL, Flagler County",G1200350
"FL, Franklin County",G1200370
"FL, Gadsden County",G1200390
"FL, Gilchrist County",G1200410
"FL, Glades County",G1200430
"FL, Gulf County",G1200450
"FL, Hamilton County",G1200470
"FL, Hardee County",G1200490
"FL, Hendry County",G1200510
"FL, Hernando County",G1200530
"FL, Highlands County",G1200550
"FL, Hillsborough County",G1200570
"FL, Holmes County",G1200590
"FL, Indian River County",G1200610
"FL, Jackson County",G1200630
"FL, Jefferson County",G1200650
"FL, Lafayette County",G1200670
"FL, Lake County",G1200690
"FL, Lee County",G1200710
"FL, Leon County",G1200730
"FL, Levy County",G1200750
"FL, Liberty County",G1200770
"FL, Madison County",G1200790
"FL, Manatee County",G1200810
"FL, Marion County",G1200830
"FL, Martin County",G1200850
"FL, Miami-Dade County",G1200860
"FL, Monroe County",G1200870
"FL, Nassau County",G1200890
"FL, Okaloosa County",G1200910
"FL, Okeechobee County",G1200930
"FL, Orange County",G1200950
"FL, Osceola County",G1200970
"FL, Palm Beach County",G1200990
"FL, Pasco County",G1201010
"FL, Pinellas County",G1201030
"FL, Polk County",G1201050
"FL, Putnam County",G1201070
"FL, St. Johns County",G1201090
"FL, St. Lucie County",G1201110
"FL, Santa Rosa County",G1201130
"FL, Sarasota County",G1201150
"FL, Seminole County",G1201170
"FL, Sumter County",G1201190
"FL, Suwannee County",G1201210
"FL, Taylor County",G1201230
"FL, Union County",G1201250
"FL, Volusia County",G1201270
"FL, Wakulla County",G1201290
"FL, Walton County",G1201310
"FL, Washington County",G1201330
"GA, Appling County",G1300010
"GA, Atkinson County",G1300030
"GA, Bacon County",G1300050
"GA, Baker County",G1300070
"GA, Baldwin County",G1300090
"GA, Banks County",G1300110
"GA, Barrow County",G1300130
"GA, Bartow County",G1300150
"GA, Ben Hill County",G1300170
"GA, Berrien County",G1300190
"GA, Bibb County",G1300210
"GA, Bleckley County",G1300230
"GA, Brantley County",G1300250
"GA, Brooks County",G1300270
"GA, Bryan County",G1300290
"GA, Bulloch County",G1300310
"GA, Burke County",G1300330
"GA, Butts County",G1300350
"GA, Calhoun County",G1300370
"GA, Camden County",G1300390
"GA, Candler County",G1300430
"GA, Carroll County",G1300450
"GA, Catoosa County",G1300470
"GA, Charlton County",G1300490
"GA, Chatham County",G1300510
"GA, Chattahoochee County",G1300530
"GA, Chattooga County",G1300550
"GA, Cherokee County",G1300570
"GA, Clarke County",G1300590
"GA, Clay County",G1300610
"GA, Clayton County",G1300630
"GA, Clinch County",G1300650
"GA, Cobb County",G1300670
"GA, Coffee County",G1300690
"GA, Colquitt County",G1300710
"GA, Columbia County",G1300730
"GA, Cook County",G1300750
"GA, Coweta County",G1300770
"GA, Crawford County",G1300790
"GA, Crisp County",G1300810
"GA, Dade County",G1300830
"GA, Dawson County",G1300850
"GA, Decatur County",G1300870
"GA, DeKalb County",G1300890
"GA, Dodge County",G1300910
"GA, Dooly County",G1300930
"GA, Dougherty County",G1300950
"GA, Douglas County",G1300970
"GA, Early County",G1300990
"GA, Echols County",G1301010
"GA, Effingham County",G1301030
"GA, Elbert County",G1301050
"GA, Emanuel County",G1301070
"GA, Evans County",G1301090
"GA, Fannin County",G1301110
"GA, Fayette County",G1301130
"GA, Floyd County",G1301150
"GA, Forsyth County",G1301170
"GA, Franklin County",G1301190
"GA, Fulton County",G1301210
"GA, Gilmer County",G1301230
"GA, Glascock County",G1301250
"GA, Glynn County",G1301270
"GA, Gordon County",G1301290
"GA, Grady County",G1301310
"GA, Greene County",G1301330
"GA, Gwinnett County",G1301350
"GA, Habersham County",G1301370
"GA, Hall County",G1301390
"GA, Hancock County",G1301410
"GA, Haralson County",G1301430
"GA, Harris County",G1301450
"GA, Hart County",G1301470
"GA, Heard County",G1301490
"GA, Henry County",G1301510
"GA, Houston County",G1301530
"GA, Irwin County",G1301550
"GA, Jackson County",G1301570
"GA, Jasper County",G1301590
"GA, Jeff Davis County",G1301610
"GA, Jefferson County",G1301630
"GA, Jenkins County",G1301650
"GA, Johnson County",G1301670
"GA, Jones County",G1301690
"GA, Lamar County",G1301710
"GA, Lanier County",G1301730
"GA, Laurens County",G1301750
"GA, Lee County",G1301770
"GA, Liberty County",G1301790
"GA, Lincoln County",G1301810
"GA, Long County",G1301830
"GA, Lowndes County",G1301850
"GA, Lumpkin County",G1301870
"GA, McDuffie County",G1301890
"GA, McIntosh County",G1301910
"GA, Macon County",G1301930
"GA, Madison County",G1301950
"GA, Marion County",G1301970
"GA, Meriwether County",G1301990
"GA, Miller County",G1302010
"GA, Mitchell County",G1302050
"GA, Monroe County",G1302070
"GA, Montgomery County",G1302090
"GA, Morgan County",G1302110
"GA, Murray County",G1302130
"GA, Muscogee County",G1302150
"GA, Newton County",G1302170
"GA, Oconee County",G1302190
"GA, Oglethorpe County",G1302210
"GA, Paulding County",G1302230
"GA, Peach County",G1302250
"GA, Pickens County",G1302270
"GA, Pierce County",G1302290
"GA, Pike County",G1302310
"GA, Polk County",G1302330
"GA, Pulaski County",G1302350
"GA, Putnam County",G1302370
"GA, Quitman County",G1302390
"GA, Rabun County",G1302410
"GA, Randolph County",G1302430
"GA, Richmond County",G1302450
"GA, Rockdale County",G1302470
"GA, Schley County",G1302490
"GA, Screven County",G1302510
"GA, Seminole County",G1302530
"GA, Spalding County",G1302550
"GA, Stephens County",G1302570
"GA, Stewart County",G1302590
"GA, Sumter County",G1302610
"GA, Talbot County",G1302630
"GA, Taliaferro County",G1302650
"GA, Tattnall County",G1302670
"GA, Taylor County",G1302690
"GA, Telfair County",G1302710
"GA, Terrell County",G1302730
"GA, Thomas County",G1302750
"GA, Tift County",G1302770
"GA, Toombs County",G1302790
"GA, Towns County",G1302810
"GA, Treutlen County",G1302830
"GA, Troup County",G1302850
"GA, Turner County",G1302870
"GA, Twiggs County",G1302890
"GA, Union County",G1302910
"GA, Upson County",G1302930
"GA, Walker County",G1302950
"GA, Walton County",G1302970
"GA, Ware County",G1302990
"GA, Warren County",G1303010
"GA, Washington County",G1303030
"GA, Wayne County",G1303050
"GA, Webster County",G1303070
"GA, Wheeler County",G1303090
"GA, White County",G1303110
"GA, Whitfield County",G1303130
"GA, Wilcox County",G1303150
"GA, Wilkes County",G1303170
"GA, Wilkinson County",G1303190
"GA, Worth County",G1303210
"ID, Ada County",G1600010
"ID, Adams County",G1600030
"ID, Bannock County",G1600050
"ID, Bear Lake County",G1600070
"ID, Benewah County",G1600090
"ID, Bingham County",G1600110
"ID, Blaine County",G1600130
"ID, Boise County",G1600150
"ID, Bonner County",G1600170
"ID, Bonneville County",G1600190
"ID, Boundary County",G1600210
"ID, Butte County",G1600230
"ID, Camas County",G1600250
"ID, Canyon County",G1600270
"ID, Caribou County",G1600290
"ID, Cassia County",G1600310
"ID, Clark County",G1600330
"ID, Clearwater County",G1600350
"ID, Custer County",G1600370
"ID, Elmore County",G1600390
"ID, Franklin County",G1600410
"ID, Fremont County",G1600430
"ID, Gem County",G1600450
"ID, Gooding County",G1600470
"ID, Idaho County",G1600490
"ID, Jefferson County",G1600510
"ID, Jerome County",G1600530
"ID, Kootenai County",G1600550
"ID, Latah County",G1600570
"ID, Lemhi County",G1600590
"ID, Lewis County",G1600610
"ID, Lincoln County",G1600630
"ID, Madison County",G1600650
"ID, Minidoka County",G1600670
"ID, Nez Perce County",G1600690
"ID, Oneida County",G1600710
"ID, Owyhee County",G1600730
"ID, Payette County",G1600750
"ID, Power County",G1600770
"ID, Shoshone County",G1600790
"ID, Teton County",G1600810
"ID, Twin Falls County",G1600830
"ID, Valley County",G1600850
"ID, Washington County",G1600870
"IL, Adams County",G1700010
"IL, Alexander County",G1700030
"IL, Bond County",G1700050
"IL, Boone County",G1700070
"IL, Brown County",G1700090
"IL, Bureau County",G1700110
"IL, Calhoun County",G1700130
"IL, Carroll County",G1700150
"IL, Cass County",G1700170
"IL, Champaign County",G1700190
"IL, Christian County",G1700210
"IL, Clark County",G1700230
"IL, Clay County",G1700250
"IL, Clinton County",G1700270
"IL, Coles County",G1700290
"IL, Cook County",G1700310
"IL, Crawford County",G1700330
"IL, Cumberland County",G1700350
"IL, DeKalb County",G1700370
"IL, De Witt County",G1700390
"IL, Douglas County",G1700410
"IL, DuPage County",G1700430
"IL, Edgar County",G1700450
"IL, Edwards County",G1700470
"IL, Effingham County",G1700490
"IL, Fayette County",G1700510
"IL, Ford County",G1700530
"IL, Franklin County",G1700550
"IL, Fulton County",G1700570
"IL, Gallatin County",G1700590
"IL, Greene County",G1700610
"IL, Grundy County",G1700630
"IL, Hamilton County",G1700650
"IL, Hancock County",G1700670
"IL, Hardin County",G1700690
"IL, Henderson County",G1700710
"IL, Henry County",G1700730
"IL, Iroquois County",G1700750
"IL, Jackson County",G1700770
"IL, Jasper County",G1700790
"IL, Jefferson County",G1700810
"IL, Jersey County",G1700830
"IL, Jo Daviess County",G1700850
"IL, Johnson County",G1700870
"IL, Kane County",G1700890
"IL, Kankakee County",G1700910
"IL, Kendall County",G1700930
"IL, Knox County",G1700950
"IL, Lake County",G1700970
"IL, LaSalle County",G1700990
"IL, Lawrence County",G1701010
"IL, Lee County",G1701030
"IL, Livingston County",G1701050
"IL, Logan County",G1701070
"IL, McDonough County",G1701090
"IL, McHenry County",G1701110
"IL, McLean County",G1701130
"IL, Macon County",G1701150
"IL, Macoupin County",G1701170
"IL, Madison County",G1701190
"IL, Marion County",G1701210
"IL, Marshall County",G1701230
"IL, Mason County",G1701250
"IL, Massac County",G1701270
"IL, Menard County",G1701290
"IL, Mercer County",G1701310
"IL, Monroe County",G1701330
"IL, Montgomery County",G1701350
"IL, Morgan County",G1701370
"IL, Moultrie County",G1701390
"IL, Ogle County",G1701410
"IL, Peoria County",G1701430
"IL, Perry County",G1701450
"IL, Piatt County",G1701470
"IL, Pike County",G1701490
"IL, Pope County",G1701510
"IL, Pulaski County",G1701530
"IL, Putnam County",G1701550
"IL, Randolph County",G1701570
"IL, Richland County",G1701590
"IL, Rock Island County",G1701610
"IL, St. Clair County",G1701630
"IL, Saline County",G1701650
"IL, Sangamon County",G1701670
"IL, Schuyler County",G1701690
"IL, Scott County",G1701710
"IL, Shelby County",G1701730
"IL, Stark County",G1701750
"IL, Stephenson County",G1701770
"IL, Tazewell County",G1701790
"IL, Union County",G1701810
"IL, Vermilion County",G1701830
"IL, Wabash County",G1701850
"IL, Warren County",G1701870
"IL, Washington County",G1701890
"IL, Wayne County",G1701910
"IL, White County",G1701930
"IL, Whiteside County",G1701950
"IL, Will County",G1701970
"IL, Williamson County",G1701990
"IL, Winnebago County",G1702010
"IL, Woodford County",G1702030
"IN, Adams County",G1800010
"IN, Allen County",G1800030
"IN, Bartholomew County",G1800050
"IN, Benton County",G1800070
"IN, Blackford County",G1800090
"IN, Boone County",G1800110
"IN, Brown County",G1800130
"IN, Carroll County",G1800150
"IN, Cass County",G1800170
"IN, Clark County",G1800190
"IN, Clay County",G1800210
"IN, Clinton County",G1800230
"IN, Crawford County",G1800250
"IN, Daviess County",G1800270
"IN, Dearborn County",G1800290
"IN, Decatur County",G1800310
"IN, DeKalb County",G1800330
"IN, Delaware County",G1800350
"IN, Dubois County",G1800370
"IN, Elkhart County",G1800390
